0,1,2,Name,NA_Sales,JP_Sales,EU_Sales,Other_Sales,Global_Sales,Rating,Developer,Publisher,Genre
-138.25041906541756,19.321040930420324,-10.339286798101739,Call of Duty: Black Ops 3,12250000.000000002,440000.0,9490000.0,3490000.0,25680000.000000004,T,Activision,Activision,Shooter
4205.319177673556,-101.53345284493508,4.618343490069063,Call of Duty: Black Ops,17570000.0,590000.0,9350000.0,3310000.0,30820000.0,M,Treyarch,Activision,Shooter
-138.25196747972876,19.38053381391798,-8.227106061171089,Pokemon X/Pokemon Y,5280000.0,4350000.0,4190000.0000000005,780000.0,14600000.0,E,Nintendo,Nintendo,Role-Playing
4904.497195948628,-8.714630143295741,-0.2802503599405499,Call of Duty: Black Ops II,14080000.0,720000.0,10840000.0,3760000.0,29400000.000000004,M,Treyarch,Activision,Shooter
11064.602013260166,52.096625840038136,7.549043023267492,Call of Duty: Modern Warfare 2,13520000.0,460000.0,8020000.0,2969999.9999999995,24950000.0,M,Infinity Ward,Activision,Shooter
1332.0203865595606,-24.680634735491694,7.3028797017024765,Grand Theft Auto III,6990000.0,300000.0,4520000.0,1300000.0,13110000.0,M,DMA Design,Take-Two Interactive,Action
1525.0911840691565,-25.8316640188684,0.5812528314960645,Super Smash Bros. Brawl,6620000.0,2660000.0,2550000.0,1010000.0,12840000.0,T,Game Arts,Nintendo,Fighting
495.159000233476,-39.96164179934509,-3.103919481088359,Mario Kart 7,5030000.0,2690000.0,4020000.0,910000.0,12660000.0,E,"Retro Studios, Entertainment Analysis & Development Division",Nintendo,Racing
104.89965587045171,-32.073498776244655,2.1420025435609413,Animal Crossing: Wild World,2500000.0,5330000.0,3450000.0,860000.0,12130000.0,E,Nintendo,Nintendo,Simulation
3962.639905720958,21.31000174257075,2.530471409911803,Halo 3,7970000.0,130000.0,2810000.0,1210000.0,12120000.0,M,"Bungie Software, Bungie",Microsoft Game Studios,Shooter
-138.2720318679112,20.061698276446986,8.745854522059656,Super Mario 64,11920000.0,3160000.0,5920000.0,1200000.0,22190000.0,E,Nintendo,Nintendo,Platform
-138.25668851224228,19.540807805101277,-4.233468276881502,Pokemon HeartGold/Pokemon SoulSilver,4340000.0,3960000.0,2710000.0,760000.0,11770000.0,E,Nintendo,Nintendo,Action
-138.2507872216004,19.34046531612216,-9.225515507243486,Pokemon Omega Ruby/Pokemon Alpha Sapphire,4350000.0,3100000.0,3490000.0,740000.0,11680000.0,E,Nintendo,Nintendo,Role-Playing
