Critic_Count,Critic_Score,Developer,EU_Sales,Genre,Global_Sales,JP_Sales,NA_Sales,Name,Other_Sales,Platform,Publisher,Rating,User_Count,User_Score,Year_of_Release
0.0,0.0,Marvelous Interactive,0.0,Adventure,0.06,0.06,0.0,Akagawa Jirou Mystery: Yasoukyoku - Hon ni Manekareta Satsujin,0.0,DS,Marvelous Interactive,RP,0.0,0.0,2008.0
0.0,0.0,Sony Computer Entertainment,0.02,Racing,0.06,0.0,0.04,Ray Tracers,0.0,PS,Sony Computer Entertainment,RP,0.0,0.0,1997.0
41.0,7.0,"Nintendo, Nintendo Software Technology",0.0,Puzzle,0.06999999999999999,0.06999999999999999,0.0,Mario vs. Donkey Kong: Tipping Stars,0.0,3DS,Nintendo,E,120.0,7.45,2015.0
38.0,4.5,High Voltage Software,0.02,Fighting,0.06,0.0,0.04,Tournament of Legends,0.01,Wii,Sega,T,11.0,6.9,2010.0
13.0,3.7,Spike,0.01,Action,0.06,0.01,0.04,Escape from Bug Island,0.0,Wii,Eidos Interactive,M,25.0,5.0,2006.0
0.0,0.0,Alchemist,0.0,Misc,0.06,0.06,0.0,Nicola Kanshuu: Model * Oshare Audition,0.0,DS,Alchemist,RP,0.0,0.0,2010.0
0.0,0.0,D3Publisher,0.0,Misc,0.06,0.06,0.0,Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 14: CR Shinseiki Evangelion: Saigo no Mono,0.0,PS2,D3Publisher,T,0.0,0.0,2009.0
0.0,0.0,Unknown,0.0,Puzzle,0.06,0.06,0.0,Kururin Paradise,0.0,GBA,Unknown,RP,0.0,0.0,2002.0
44.0,7.6,M2,0.0,Shooter,0.06,0.02,0.04,Gradius Collection,0.0,PSP,Konami Digital Entertainment,E,4.0,8.5,2006.0
0.0,0.0,Tecmo Koei,0.0,Role-Playing,0.06,0.06,0.0,Kiniro no Corda 2,0.0,PS2,Tecmo Koei,RP,0.0,0.0,2007.0
0.0,0.0,Koei,0.0,Action,0.06,0.06,0.0,Dynasty Warriors Vs,0.0,3DS,Ackkstudios,T,0.0,0.0,2012.0
15.0,7.0,Tecmo,0.02,Sports,0.06,0.0,0.03,Gallop Racer 2004,0.01,PS2,Zoo Digital Publishing,E,12.0,8.7,2004.0
0.0,0.0,Sunrise Interactive,0.0,Role-Playing,0.06,0.06,0.0,Sunrise Eiyuutan R,0.0,PS2,Sunrise Interactive,T,0.0,0.0,2000.0
16.0,4.5,Bec,0.02,Shooter,0.06,0.0,0.03,Mobile Suit Gundam Seed: Never Ending Tomorrow,0.01,PS2,Namco Bandai Games,T,10.0,7.8,2004.0
0.0,0.0,Aqua Plus,0.0,Misc,0.13,0.13,0.0,Utawarerumono: Futari no Hakuoro,0.0,PSV,Aqua Plus,T,0.0,0.0,2016.0
0.0,0.0,Konami Digital Entertainment,0.0,Sports,0.06,0.06,0.0,Fishing Master (jp sales),0.0,Wii,Konami Digital Entertainment,RP,0.0,0.0,2007.0
0.0,0.0,Ubisoft,0.06,Puzzle,0.06,0.0,0.0,OK! Puzzle Stars,0.01,DS,Ubisoft,E10+,0.0,0.0,2010.0
0.0,0.0,Tecmo Koei,0.0,Role-Playing,0.06,0.06,0.0,Zill O'll Infinite Plus,0.0,PSP,Tecmo Koei,RP,0.0,0.0,2009.0
0.0,0.0,TDK Mediactive,0.01,Action,0.06,0.0,0.05,Tonka Rescue Patrol,0.0,GC,TDK Mediactive,T,0.0,0.0,2003.0
0.0,0.0,ESP,0.0,Simulation,0.06,0.06,0.0,GunGriffon II,0.0,SAT,ESP,RP,0.0,0.0,1998.0
20.0,7.8,"IronNos Co.,Ltd.",0.0,Role-Playing,0.06,0.0,0.06,Crimson Gem Saga,0.0,PSP,Sega,T,30.0,7.5,2008.0
15.0,7.9,DreamRift,0.0,Platform,0.06,0.0,0.06,Monster Tale,0.0,DS,Majesco Entertainment,E,15.0,8.0,2011.0
14.0,3.7,Neko Entertainment,0.0,Fighting,0.06,0.0,0.06,Legend of the Dragon,0.0,Wii,Game Factory,T,5.0,4.8,2007.0
0.0,0.0,Nintendo,0.0,Action,0.06,0.06,0.0,Famicom Mini: Balloon Fight,0.0,GBA,Nintendo,E,0.0,0.0,2004.0
0.0,0.0,5pb,0.0,Adventure,0.08,0.08,0.0,Steins;Gate: Senkei Kousoku no Phonogram,0.0,PS3,5pb,M,0.0,0.0,2013.0
0.0,0.0,Sega,0.0,Simulation,0.06,0.06,0.0,Seaman 2: Peking Genjin Ikusei Kit,0.0,PS2,Sega,T,0.0,0.0,2007.0
0.0,0.0,Namco Bandai Games,0.0,Action,0.06,0.06,0.0,Chou Gekijouban Keroro Gunsou 3: Tenkuu Daibouken de Arimasu!,0.0,DS,Namco Bandai Games,E,0.0,0.0,2008.0
0.0,0.0,Ubisoft,0.0,Adventure,0.06,0.0,0.06,Sprung - A Game Where Everyone Scores,0.0,DS,Ubisoft,E10+,0.0,0.0,2004.0
0.0,0.0,Atlus,0.0,Role-Playing,0.06,0.06,0.0,Growlanser IV: Over Reloaded,0.0,PSP,Atlus,T,0.0,0.0,2011.0
24.0,5.9,Cattle Call,0.02,Role-Playing,0.06,0.0,0.03,Arc the Lad: End of Darkness,0.01,PS2,Sony Computer Entertainment,T,10.0,4.2,2004.0
0.0,0.0,Acclaim Entertainment,0.02,Puzzle,0.06,0.0,0.04,Bubble Bobble also featuring Rainbow Islands,0.0,PS,Acclaim Entertainment,RP,0.0,0.0,1995.0
